PERMY
994.555	2171.6	42.7094	62.803	2968.78	3358.96	145.828	     5
     5	1889.36	25.1533	1442.77	3321.38	2106.57	     5	     5
     5	     5	     5	     5	98.7053	     5	     5	899.891
7.9083	10.0434	178.907	12.6543	1344.24	     5	     5	     5
     5	     5	2987.86	     5	1298.07	2431.49	138.196	72.2118
     5	42.7436	2264.89	2029.32	829.223	3310.78	     5	     5
3355.69	3075.82	172.271	8.3622	3307.4	 6.303	     5	     5
     5	     5	     5	     5	     5	     5	     5	235.48
275.845	277.864	     5	     5	     5	6.6154	 88.47	1095.8
122.44	774.213	     5	1231.69	     5	     5	     5	     5
988.54	     5	7.8722	307.595	1744.57	3342.14	405.393	8.3476
858.346	     5	     5	     5	     5	     5	     5	     5
3138.35	8.1484	14.344	     5	     5	     5	28.4707	376.993
2186.14	     5	13.7822	2615.26	338.161	2756.23	3342.79	17.5463
2944.32	1006.38	     5	     5	     5	     5	     5	     5
3110.34	1835.15	     5	     5	     5	     5	     5	     5
     5	1486.96	385.279	15.6727	117.522	939.774	     5	7.7457
11.0634	     5	     5	     5	     5	     5	7.8745	6.6417
2838.84	2550.13	2083.6	71.237	     5	     5	     5	     5
     5	     5	     5	     5	     5	     5	     5	     5
     5	     5	364.624	98.9454	     5	3296.7	405.906	3283.83
46.9714	41.5592	13.1081	6.5464	91.9106	68.2097	     5	     5
     5	     5	     5	     5	264.181	1130.99	3295.69	129.64
     5	     5	     5	     5	     5	     5	     5	1045.45
457.923	852.011	     5	 6.543	548.925	3342.15	     5	     5
     5	     5	     5	19.5548	878.799	258.344	1661.59	     5
     5	     5	     5	     5	     5	     5	     5	     5
     5	     5	     5	     5	     5	     5	6.3154	1897.35
     5	575.67	247.364	8.5968	14.6053	3264.84	2217.69	3358.36
7.1503	28.3651	     5	     5	     5	     5	     5	150.468
1846.58	8.3504	318.981	2376.08	3338.69	     5	     5	     5
     5	     5	     5	     5	67.7792	3326.51	12.0376	     5
1471.92	3348.01	1127.77	     5	     5	     5	     5	     5
     5	     5	     5	     5	3348.23	     5	6.3908	     5
     5	     5	     5	     5	     5	     5	     5	     5
     5	     5	     5	     5	167.28	2976.57	2376.99	2932.97
3181.61	3289.83	1069.24	1965.57	2803.69	738.59	     5	3080.68
2643.57	96.2414	1166.05	1206.08	1468.28	500.599	17.875	398.254
459.216	     5	     5	     5	     5	     5	     5	     5
44.3578	1668.39	 8.035	     5	20.705	22.2565	20.8748	     5
     5	     5	     5	     5	256.458	     5	7.5283	     5
     5	     5	     5	     5	     5	58.216	     5	     5
     5	     5	2392.91	     5	     5	     5	     5	     5
2672.65	2362.23	25.411	1422.75	908.188	3330.75	3084.15	8.9197
6.3852	1780.49	     5	1983.52	7.7495	7.3488	9.7971	2579.08
39.7115	3357.93	2988.37	6.5005	2335.12	     5	     5	     5
     5	     5	     5	     5	     5	6.3915	324.279	35.3481
     5	     5	27.5159	7.0704	     5	1077.65	     5	     5
167.251	     5	     5	     5	     5	     5	     5	7.7023
1975.9	34.6986	145.629	39.1065	     5	     5	3292.53	104.447
1814.3	     5	11.2771	1780.73	     5	2284.98	368.761	3209.79
